Singed,49.48%,47960,1.87,165.48,10.490
Sion,51.54%,33986,2.24,150.54,10.220
Sivir,51.12%,92622,2.52,197.20,11.638
Skarner,49.67%,11467,2.77,137.52,10.008
Sona,51.72%,65440,2.73,18.96,7.887
Soraka,50.98%,118854,2.74,18.70,7.211
Swain,51.62%,97000,2.39,71.55,9.583
Sylas,48.74%,408168,2,139.48,10.411
Syndra,47.44%,95491,2.13,163.67,10.687
Tahm Kench,50.75%,160076,2.59,130.67,9.810
Taliyah,51.22%,48831,2.59,146.92,11.031
Talon,50.87%,213947,2.39,164.06,11.559
Taric,50.09%,21997,2.63,42.11,7.386
Teemo,49.71%,176118,1.66,164.05,11.060
Thresh,49.64%,360989,2.51,33.56,7.436
Tristana,49.95%,156436,2.32,177.69,11.883
Trundle,50.48%,231864,2.38,132.53,10.468
Tryndamere,49.59%,125367,1.84,189.02,12.031
Twisted Fate,48.54%,114880,2.16,156.04,10.910
Twitch,48.89%,78111,2.44,158.51,11.841
Udyr,47.35%,24735,2.24,153.75,10.689
Urgot,49.93%,41901,1.9,176.18,11.611
Varus,48.62%,166459,2.38,179.35,11.487
Vayne,52.21%,504590,2.11,178.07,11.818
Veigar,49.81%,74834,2.19,115.90,10.251
Vel'Koz,50.82%,56994,2.23,68.44,9.448
Vi,51.63%,60035,2.47,146.66,10.962
Viego,48.72%,280797,2.33,150.18,11.219
Viktor,51.69%,74319,2.26,182.98,11.162
Vladimir,48.43%,83398,2.07,173.62,10.899
Volibear,49.53%,103736,2.14,136.00,10.171
Warwick,50.85%,132294,2.23,133.83,10.706
Wukong,51.34%,86337,2.31,149.88,10.874
Xayah,48.23%,79726,2.45,194.52,11.871
Xerath,51.46%,328338,2.54,75.52,9.637
Xin Zhao,50.21%,165738,2.32,142.04,10.783
Yasuo,50.91%,427838,1.76,193.43,12.012
Yone,50.17%,310550,1.87,181.97,11.704
Yorick,51.59%,43481,1.76,184.49,11.420
Yuumi,48.37%,308751,4.14,6.96,7.402
Zac,51.74%,166990,3.36,124.39,9.926
Zed,49.15%,350789,2.28,162.86,11.632
Ziggs,52.27%,196994,2.38,174.14,11.171
Zilean,52.85%,70658,3.05,49.72,8.210
Zoe,46.98%,85606,2.3,140.54,10.130
Zyra,52.32%,83701,2.06,52.77,9.104
